"Numer dokumentu";"Data złożenia";"Data zamknięcia";"Student";"Tryb studiów";"Typ studiów";"Język wykładowy";"Kierunek";"Status";"Rodzaj wniosku";"Osoba przyjmująca";"Osoba przypisana";"Słowo regulamin w uzasadnieniu";"Słowo formaln w uzasadnieniu";"Słowo postęp w uzasadnieniu";"Złożone odwołanie";"Liczba załączników";"Liczba zmian statusu";"Semestr rejestracji";"Semestr aktualny";"Semestr studiow";"Brakujace ECTS";"ECTS uznane w bieżącym semstrze";"Suma zdobytych ECTS";"Niezaliczone z sem 1";"Niezaliczone z sem 2";"Niezaliczone z sem 3";"Niezaliczone z sem 4";"Niezaliczone z sem 5";"Niezaliczone z sem 6";"Liczba brakujacych przedmiotow";"Brakujace przedmioty";"Opłata za niezaliczone przedmioty";"Liczba prac dyplomowych";"Informacje o pracach dyplomowych";"Stopień zaawansowania pracy";"Słowo rodzin lub famil w uzasadnieniu";"Słowo zdrow lub health w uzasadnieniu";"Słowo bardzo proszę w uzasadnieniu";"Słowo losow w uzasadnieniu";"Słowo prac lub work w uzasadnieniu";"Słowo obiecuję lub promise w uzasadnieniu";"Słowo zobowiązuję w uzasadnieniu"
1643;"12.02.2018 11:33";"13.02.2018 12:43";"XXwSG8qlyLoeLhXSidCKw";"D";"I";"PL";"Model 2,I,D,PL,7 - Technika Wysokich Napięć i Kompatybilność Elektromagnetyczna";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"WXJX9CCNKupY4S1OKIcNWg";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;6;"null";"2017Z";7;14;27;196;0;0;1;0;0;0;1;"1DE1204";80;1;"[dr inż. Andrzej Łasica,ZWNiKE,Technika Wysokich Napięć i Kompatybilność Elektromagnetyczna]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1412;"29.01.2018 12:11";"30.01.2018 08:23";"4J9OAgRK22LilXbnzZisQ";"D";"I";"PL";"Model 2,I,D,PL,7 - Automatyka Elektroenergetyczna";"Zamknięty - decyzja pozytywna";"Wniosek o przedłużenie terminu złożenia pracy dyplomowej";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"YES";"NO";"NO";"NO";0;4;"null";"2017Z";7;11;9;199;0;0;0;0;0;0;0;;0;1;"[dr hab. inż. Piotr Biczel,ZKUE,Automatyka Elektroenergetyczna]";"80%";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1729;"15.02.2018 11:27";" - ";"KmXbfnGp2vVOzgLxZd3BNg";"D";"M";"PL";"Model 2,M,D,PL,3 - Inżynieria  Oprogramowania";"Anulowany - usunięty";"Wniosek ogólny";"UxFYRj8nA8e4KeQCrN2hA";"UxFYRj8nA8e4KeQCrN2hA";"NO";"NO";"NO";"NO";0;6;"null";"2018L";3;50;0;40;2;3;2;0;0;0;5;"1DI2101,1DI2105,1DI2204,1DI2203,1DI2205";1220;1;"[dr inż. Jacek Korytkowski,ZETiIS,Inżynieria Oprogramowania]";;"TAK";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1284;"21.01.2018 19:41";"23.01.2018 10:17";"E1DRWwYgZZvWDd902Y9Tmg";"Z";"I";"PL";"Model 2,I,Z,PL,8 - Elektrotechnika";"Zamknięty - inne";"Potwierdzenie opłaty";"qDuYYvY4wP3o1XIJVQ2G6A";"qDuYYvY4wP3o1XIJVQ2G6A";"NO";"NO";"NO";"NO";1;4;"null";"2017Z";3;37;4;39;1;2;9;0;0;0;2;"1ZE1213,1ZE1222";340;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1286;"22.01.2018 10:09";"5.02.2018 11:57";"cgaq4HV3DOKVK5z5jkKKSw";"D";"M";"EN";"Model 2,M,D,EN,3 - Electrical Engineering";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"s67ATdcxFRCArkQmkAHEzw";"s67ATdcxFRCArkQmkAHEzw";"NO";"NO";"NO";"NO";0;7;"null";"2017Z";3;30;0;60;0;0;2;0;0;0;1;"1DA2210";0;1;"[dr inż. Bogdan Dziadak,ZSIP,Electrical Engineering]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1515;"8.02.2018 21:21";"12.02.2018 14:22";"R6MshT1gBnxN7u97sE8w";"D";"M";"EN";"Model 2,M,D,EN,3 - Electrical Engineering";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"s67ATdcxFRCArkQmkAHEzw";"NO";"NO";"NO";"NO";0;6;"null";"2017Z";3;28;3;62;3;0;1;0;0;0;1;"1DA2104";275;1;"[prof. dr hab. inż. Włodzimierz Koczara,ZNE,Electrical Engineering]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1595;"9.02.2018 17:07";"10.02.2018 10:45";"OlN38ONtI13ixWrlKSmZbA";"D";"M";"PL";"Model 2,M,D,PL,3 - Elektromechatronika Pojazdów i Maszyny Elektryczne";"Zamknięty - odrzucony formalnie";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"UxFYRj8nA8e4KeQCrN2hA";"NO";"NO";"NO";"NO";0;3;"null";"2017Z";2;38;0;22;2;12;0;0;0;0;2;"1DE2151,1DE2120";310;1;"[dr inż. Adam Biernat,ZME,Elektromechatronika Pojazdów i Maszyny Elektryczne]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
2001;"1.03.2018 15:02";"2.03.2018 13:34";"ft6mOYEUb111hOJY4MwQ";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektrotechnika";"Zamknięty - decyzja pozytywna";"Wniosek o zmniejszenie opłaty za powtarzanie";"WXJX9CCNKupY4S1OKIcNWg";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;5;"null";"2018L";4;50;0;70;0;2;2;13;0;0;2;"1DE1204,1DE1302";460;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1328;"25.01.2018 22:52";"30.01.2018 08:50";"T1HrJ5XgfZp2iKWJi9kMw";"D";"I";"PL";"Model 2,I,D,PL,7 - Inżynieria  Oprogramowania";"Zamknięty - decyzja pozytywna";"Wniosek o przedłużenie terminu złożenia pracy dyplomowej";"ZRZOnmXcfa9Tlr9XY1AxQ";"ZRZOnmXcfa9Tlr9XY1AxQ";"YES";"NO";"NO";"NO";0;6;"null";"2017Z";7;8;2;202;0;0;0;0;0;0;0;;0;1;"[dr hab. inż. Bartosz Sawicki,ZETiIS,Inżynieria Oprogramowania]";"60%";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1999;"1.03.2018 15:01";"2.03.2018 13:33";"92e5MIbjWFrVKAWA9u7qWg";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektrotechnika";"Zamknięty - decyzja pozytywna";"Wniosek o zmniejszenie opłaty za powtarzanie";"WXJX9CCNKupY4S1OKIcNWg";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;5;"null";"2018L";4;47;0;73;0;1;2;13;0;0;2;"1DE1204,1DE1302";160;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1503;"5.02.2018 21:38";"5.02.2018 22:32";"DTBrXj92hInd6PCkV5AQ";"D";"I";"EN";"Model 2,I,D,EN,8 - Electrical Engineering";"Zamknięty - decyzja negatywna";"Wniosek ogólny";"FUYMkMMRDa35xtOw0V36w";"s67ATdcxFRCArkQmkAHEzw";"NO";"NO";"NO";"NO";0;3;"null";"2017Z";7;0;21;218;0;1;0;1;0;0;1;"1DA1203";470;1;"[mgr inż. Włodzimierz Jefimowski,ZTE,Electrical Engineering]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
2707;"15.03.2018 11:35";"15.03.2018 11:40";"clNbxzUbtfx0N554WyrKw";"Z";"I";"PL";"Model 2,I,Z,PL,8 - Elektrotechnika";"Zamknięty - inne";"Potwierdzenie opłaty";"qDuYYvY4wP3o1XIJVQ2G6A";"qDuYYvY4wP3o1XIJVQ2G6A";"NO";"NO";"NO";"NO";1;4;"null";"2018L";4;21;0;80;0;0;0;10;0;0;0;;0;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1347;"26.01.2018 13:42";"30.01.2018 08:25";"aivwqMXD9nuSnY4MfIolA";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektromechatronika Pojazdów i Maszyny Elektryczne";"Zamknięty - decyzja pozytywna";"Wniosek o przedłużenie terminu złożenia pracy dyplomowej";"WXJX9CCNKupY4S1OKIcNWg";"WXJX9CCNKupY4S1OKIcNWg";"YES";"NO";"NO";"NO";0;6;"null";"2017Z";7;11;20;199;0;0;0;0;0;0;0;;0;1;"[mgr inż. Rafał Jakubowski,ZME,Elektromechatronika Pojazdów i Maszyny Elektryczne]";"30%";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1568;"8.02.2018 12:20";"9.02.2018 08:24";"7w72sEN06T6esJEahFCQA";"D";"I";"PL";"Model 2,I,D,PL,7 - Informatyka";"Zamknięty - decyzja negatywna";"Podanie o rejestrację";"ZRZOnmXcfa9Tlr9XY1AxQ";"ZRZOnmXcfa9Tlr9XY1AxQ";"NO";"NO";"NO";"NO";0;6;"null";"2017Z";1;18;12;12;4;0;0;0;0;0;4;"1DI1102,1DI1108,1DI1107,1DI1117";620;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1399;"29.01.2018 11:18";"30.01.2018 08:23";"T62CQbG2ULwBm7NOiAjw";"D";"I";"PL";"Model 2,I,D,PL,7 - Sieci i Systemy Elektroenergetyczne";"Zamknięty - decyzja pozytywna";"Wniosek o przedłużenie terminu złożenia pracy dyplomowej";"WXJX9CCNKupY4S1OKIcNWg";"WXJX9CCNKupY4S1OKIcNWg";"YES";"NO";"NO";"NO";0;6;"null";"2017Z";7;11;15;199;0;0;0;0;0;0;0;;0;1;"[prof. dr hab. inż. Mirosław Parol,ZSIS,Sieci i Systemy Elektroenergetyczne]";"85-90%";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1274;"19.01.2018 09:14";"30.01.2018 08:51";"n3I0gjxvDX5IxF9TJOzQ";"D";"I";"PL";"Model 2,I,D,PL,7 - Automatyka.";"Zamknięty - decyzja pozytywna";"Wniosek o przedłużenie terminu złożenia pracy dyplomowej";"ZRZOnmXcfa9Tlr9XY1AxQ";"ZRZOnmXcfa9Tlr9XY1AxQ";"YES";"NO";"NO";"NO";0;6;"null";"2017Z";7;23;10;187;0;0;0;0;3;1;0;;0;1;"[dr inż. Adam Jóśko,ZSIP,Automatyka]";"80%";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
2847;"16.03.2018 12:33";"16.03.2018 12:40";"NCyCZClNmeOJVKb8pmiblw";"Z";"M";"PL";"Model 2,M,Z,PL,4 - Automatyka Przemysłowa";"Zamknięty - inne";"Potwierdzenie opłaty";"5SakVepaFoKcxFpixBuJFA";"5SakVepaFoKcxFpixBuJFA";"NO";"NO";"NO";"NO";1;4;"null";"2018L";2;22;0;22;0;6;0;0;0;0;0;;0;1;"[dr inż. Grzegorz Iwański,ZNE,Automatyka Przemysłowa]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1364;"27.01.2018 10:42";"6.02.2018 23:25";"DTOdzlqB9xKvLkCAyWhwOA";"D";"I";"PL";"Model 2,I,D,PL,7 - Automatyka.";"Zamknięty - odrzucony formalnie";"Wniosek o przedłużenie terminu złożenia pracy dyplomowej";"ZRZOnmXcfa9Tlr9XY1AxQ";"ZRZOnmXcfa9Tlr9XY1AxQ";"NO";"NO";"NO";"NO";0;5;"null";"2017Z";7;20;15;190;0;0;0;0;1;1;1;"1DR1620";600;1;"[dr inż. Bartosz Chaber,ZETiIS,Automatyka]";"70%";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1273;"18.01.2018 23:33";"7.02.2018 09:08";"i6wlyFpNvvpxT2wFilqHIw";"Z";"M";"PL";"Model 2,M,Z,PL,4 - Elektrotechnika Stosowana";"Zamknięty - decyzja pozytywna";"Wniosek ogólny";"5SakVepaFoKcxFpixBuJFA";"5SakVepaFoKcxFpixBuJFA";"NO";"NO";"NO";"NO";0;8;"null";"2017Z";4;19;0;71;1;1;0;1;0;0;2;"1ZE2104,1ZE2221";170;1;"[dr inż. Andrzej Wiśniewski,ZTS,Elektrotechnika Stosowana]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1566;"8.02.2018 11:03";"9.02.2018 08:27";"jjt03cfQk9X3Z2jCOCB9tg";"D";"I";"PL";"Model 2,I,D,PL,7 - Automatyka.";"Zamknięty - decyzja pozytywna";"Wniosek ogólny";"ZRZOnmXcfa9Tlr9XY1AxQ";"ZRZOnmXcfa9Tlr9XY1AxQ";"NO";"NO";"NO";"NO";0;6;"null";"2017Z";7;27;26;183;0;0;1;1;1;5;6;"1DR1418,1DR1514,1DR1623,1DR1650,1DR1634,1DR1616";700;1;"[prof. nzw. dr hab. inż. Krzysztof Siwek,ZETiIS,Automatyka]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1421;"29.01.2018 14:24";"30.01.2018 08:14";"xebST48nGQ2WqTMdslb6zA";"D";"I";"PL";"Model 2,I,D,PL,7 - Systemy wbudowane";"Zamknięty - decyzja pozytywna";"Wniosek o przedłużenie terminu złożenia pracy dyplomowej";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"YES";"NO";"NO";"NO";0;4;"null";"2017Z";7;11;15;199;0;0;0;0;0;0;0;;0;1;"[dr inż. Bogdan Dziadak,ZSIP,Systemy wbudowane]";"60%";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1514;"6.02.2018 19:24";"7.02.2018 08:19";"ZMmpWC9I2E3Eb6xXWQLAg";"Z";"I";"PL";"Model 2,I,Z,PL,8 - Elektrotechnika";"Zamknięty - inne";"Potwierdzenie opłaty";"qDuYYvY4wP3o1XIJVQ2G6A";"qDuYYvY4wP3o1XIJVQ2G6A";"NO";"NO";"NO";"NO";1;6;"null";"2017Z";3;42;0;34;0;4;10;0;0;0;10;"1ZE1213,1ZE1211,1ZE1215,1ZE1221,SJONSTJEZ1,1ZE1304,1ZE1307,1ZE1308,1ZE1319,1ZE1325";2200;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1507;"5.02.2018 23:42";"6.02.2018 01:00";"XVQ2EPTtZCT1C6f3g201ZQ";"D";"I";"PL";"Model 2,I,D,PL,7 - Inżynieria  Oprogramowania";"Zamknięty - decyzja negatywna";"Wniosek ogólny";"FUYMkMMRDa35xtOw0V36w";"ZRZOnmXcfa9Tlr9XY1AxQ";"NO";"NO";"NO";"NO";0;3;"null";"2017Z";7;27;0;183;0;0;0;0;0;0;0;;0;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1373;"28.01.2018 13:18";"30.01.2018 08:19";"ut8A421EdA7e9J1mtfjjKA";"D";"I";"PL";"Model 2,I,D,PL,7 - Automatyka Elektroenergetyczna";"Zamknięty - decyzja pozytywna";"Wniosek o przedłużenie terminu złożenia pracy dyplomowej";"WXJX9CCNKupY4S1OKIcNWg";"WXJX9CCNKupY4S1OKIcNWg";"YES";"NO";"NO";"NO";0;6;"null";"2017Z";7;16;15;194;0;0;0;1;0;0;2;"1DE1416,1DE1426";230;1;"[mgr inż. Karol Kurek,ZAiAE,Automatyka Elektroenergetyczna]";"70%";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1411;"29.01.2018 12:10";"6.02.2018 08:24";"hlbY2cJ6yqqGH3eRCZZQBw";"D";"I";"PL";"Model 2,I,D,PL,7 - Wytwarzanie i użytkowanie energii elektrycznej";"Zamknięty - decyzja pozytywna";"Wniosek o przedłużenie terminu złożenia pracy dyplomowej";"WXJX9CCNKupY4S1OKIcNWg";"WXJX9CCNKupY4S1OKIcNWg";"YES";"NO";"NO";"NO";0;8;"null";"2017Z";7;15;19;195;0;0;0;1;0;0;0;;0;1;"[dr inż. Mariusz Kłos,ZEIG,Wytwarzanie i użytkowanie energii elektrycznej]";"75%";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
2943;"18.03.2018 10:41";"19.03.2018 08:37";"F3uR9vCESWS2Aft0KDOYA";"Z";"M";"PL";"Model 2,M,Z,PL,4 - Automatyka Przemysłowa";"Zamknięty - inne";"Potwierdzenie opłaty";"qDuYYvY4wP3o1XIJVQ2G6A";"5SakVepaFoKcxFpixBuJFA";"NO";"NO";"NO";"NO";1;4;"null";"2018L";4;24;0;66;0;0;0;2;0;0;0;;0;1;"[dr inż. Ryszard Łagoda,ZS,Automatyka Przemysłowa]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1501;"5.02.2018 21:22";"6.02.2018 08:46";"3aKO1CC6VZLEzn4c3Rg";"D";"M";"PL";"Model 2,M,D,PL,3 - Automatyka.";"Zamknięty - decyzja pozytywna";"Wniosek ogólny";"FUYMkMMRDa35xtOw0V36w";"UxFYRj8nA8e4KeQCrN2hA";"NO";"NO";"NO";"NO";0;4;"null";"2017Z";2;11;21;49;0;4;0;0;0;0;3;"1DR2231,1DJ2005,1DR2216";830;1;"[mgr inż. Monika Jakubowska,ZNE,Automatyka]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1321;"25.01.2018 17:08";"30.01.2018 08:24";"jrWj4QYVUhlNbJJ6z0nQ";"D";"I";"PL";"Model 2,I,D,PL,7 - Wytwarzanie i użytkowanie energii elektrycznej";"Zamknięty - decyzja pozytywna";"Wniosek o przedłużenie terminu złożenia pracy dyplomowej";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"YES";"NO";"NO";"NO";0;4;"null";"2017Z";7;14;12;196;0;0;0;0;0;0;0;;0;1;"[dr inż. Zygmunt Pawełkowicz,ZEIG,Wytwarzanie i użytkowanie energii elektrycznej]";"ca 60%";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1502;"5.02.2018 21:25";"6.02.2018 08:48";"N1w6kzTzuA2wockVCk2rQg";"D";"M";"PL";"Model 2,M,D,PL,3 - Automatyka.";"Zamknięty - decyzja pozytywna";"Wniosek ogólny";"FUYMkMMRDa35xtOw0V36w";"UxFYRj8nA8e4KeQCrN2hA";"NO";"NO";"NO";"NO";0;8;"null";"2017Z";2;11;21;49;0;4;0;0;0;0;3;"1DR2231,1DJ2005,1DR2216";830;1;"[dr inż. Remigiusz Olesiński,ZNE,Automatyka]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1418;"29.01.2018 13:47";"30.01.2018 08:25";"HOVZjkSeQ3i6bY18ZPUuA";"D";"M";"PL";"Model 2,M,D,PL,3 - Technika  Świetlna i Multimedialna";"Zamknięty - decyzja pozytywna";"Wniosek ogólny";"s67ATdcxFRCArkQmkAHEzw";"UxFYRj8nA8e4KeQCrN2hA";"YES";"NO";"NO";"NO";4;6;"null";"2017Z";2;13;22;47;1;2;0;0;0;0;1;"1DE2120";230;2;"[prof. dr hab. inż. Wojciech Żagan,ZTS,Technika  Świetlna i Multimedialna],[dr hab. inż. Piotr Pracki,ZTS,Technika  Świetlna i Multimedialna]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1682;"13.02.2018 11:15";" - ";"XIT4JQV8k7nVPIr1OVnBuw";"D";"I";"EN";"Model 2,I,D,EN,8 - Electrical Engineering";"Anulowany - usunięty";"Wniosek ogólny";"s67ATdcxFRCArkQmkAHEzw";"s67ATdcxFRCArkQmkAHEzw";"NO";"NO";"NO";"NO";0;7;"null";"2017Z";5;25;27;125;0;2;1;2;1;0;6;"1DA1207,1DA1201,1DA1312,1DA1403,1DA1401,1DA1504";2385;0;;;"NIE";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
1779;"19.02.2018 21:32";"19.02.2018 23:21";"e6t1f800bx3kyo94v5uEw";"D";"M";"PL";"Model 2,M,D,PL,3 - Elektroenergetyka";"Zamknięty - decyzja negatywna";"Wniosek ogólny";"FUYMkMMRDa35xtOw0V36w";"UxFYRj8nA8e4KeQCrN2hA";"NO";"NO";"NO";"NO";0;3;"null";"2018L";1;0;0;0;11;0;0;0;0;0;0;;0;1;"[dr hab. inż. Łukasz Nogal,ZAiAE,Elektrotechnika]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1331;"26.01.2018 00:41";"30.01.2018 15:43";"B7NtdlA4q2dZXBXUaWA";"D";"I";"PL";"Model 2,I,D,PL,7 - Wytwarzanie i użytkowanie energii elektrycznej";"Zamknięty - decyzja pozytywna";"Wniosek o przedłużenie terminu złożenia pracy dyplomowej";"WXJX9CCNKupY4S1OKIcNWg";"WXJX9CCNKupY4S1OKIcNWg";"YES";"NO";"NO";"NO";0;6;"null";"2017Z";7;17;16;193;0;0;0;0;0;0;0;;0;1;"[mgr inż. Piotr Marchel,ZEIG,Wytwarzanie i użytkowanie energii elektrycznej]";"70%";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
2464;"12.03.2018 10:57";"12.03.2018 12:47";"gUGkHI3vE4TWt0GR9sDtg";"D";"I";"EN";"Model 2,I,D,EN,8 - Electrical Engineering";"Zamknięty - inne";"Potwierdzenie opłaty";"s67ATdcxFRCArkQmkAHEzw";"s67ATdcxFRCArkQmkAHEzw";"NO";"NO";"NO";"NO";1;4;"null";"2018L";6;60;0;120;0;0;2;2;2;10;5;"1DA1312,1DA1301,1DA1504,1DA1506,1DA1701";1100;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1500;"5.02.2018 21:09";"5.02.2018 23:15";"b9K3D0rkz1uHTcdymTLTCg";"D";"I";"PL";"Model 2,I,D,PL,7 - Informatyka";"Zamknięty - decyzja negatywna";"Wniosek ogólny";"FUYMkMMRDa35xtOw0V36w";"ZRZOnmXcfa9Tlr9XY1AxQ";"NO";"NO";"NO";"NO";0;3;"null";"2017Z";1;0;30;30;0;0;0;0;0;0;0;;0;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1283;"25.01.2018 16:47";"30.01.2018 08:52";"XzWea7wmeWu0NLQ22sU8ig";"D";"I";"PL";"Model 2,I,D,PL,7 - Inżynieria  Oprogramowania";"Zamknięty - decyzja pozytywna";"Wniosek o przedłużenie terminu złożenia pracy dyplomowej";"ZRZOnmXcfa9Tlr9XY1AxQ";"ZRZOnmXcfa9Tlr9XY1AxQ";"YES";"NO";"NO";"NO";0;6;"null";"2017Z";7;17;0;193;0;0;0;0;0;0;0;;0;1;"[dr inż. Dominik Olszewski,ZS,Inżynieria Oprogramowania]";"30%";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1433;"30.01.2018 08:29";"30.01.2018 08:46";"LIizMvYtwiMoD4PiCqvdfQ";"D";"M";"PL";"Model 2,M,D,PL,3 - Elektromechatronika Pojazdów i Maszyny Elektryczne";"Zamknięty - inne";"Wniosek ogólny";"FUYMkMMRDa35xtOw0V36w";"UxFYRj8nA8e4KeQCrN2hA";"NO";"NO";"NO";"NO";0;3;"null";"2017Z";2;21;17;39;2;3;0;0;0;0;2;"1DE2151,1DE2120";310;1;"[mgr inż. Maciej Wieczorek,ZTE,Elektromechatronika Pojazdów i Maszyny Elektryczne]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1295;"23.01.2018 12:48";"22.03.2018 15:48";"gF8dXpLBuaAUu0HuYA0FQ";"D";"M";"PL";"Model 2,M,D,PL,3 - Automatyka.";"Zamknięty - decyzja pozytywna";"Wniosek o przedłużenie terminu złożenia pracy dyplomowej";"UxFYRj8nA8e4KeQCrN2hA";"UxFYRj8nA8e4KeQCrN2hA";"YES";"NO";"NO";"NO";0;6;"null";"2017Z";3;18;0;72;0;0;1;0;0;0;0;;0;2;"[dr inż. Krzysztof Bieńkowski,ZME,Automatyka],[prof. nzw. dr hab. inż. Dominik Sierociuk,ZS,Automatyka]";"40%";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1498;"5.02.2018 19:52";"5.02.2018 23:25";"LU0iUY4FN5IbsNuo7JT8A";"D";"M";"EN";"Model 2,M,D,EN,3 - Electrical Engineering";"Zamknięty - decyzja negatywna";"Wniosek ogólny";"FUYMkMMRDa35xtOw0V36w";"s67ATdcxFRCArkQmkAHEzw";"NO";"NO";"NO";"NO";0;4;"null";"2017Z";1;10;20;20;2;0;0;0;0;0;1;"1DA2101";80;1;"[prof. dr hab. inż. Adam Szeląg,ZTE,Electrical Engineering]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1387;"29.01.2018 00:03";"29.01.2018 15:31";"XXwSG8qlyLoeLhXSidCKw";"D";"I";"PL";"Model 2,I,D,PL,7 - Technika Wysokich Napięć i Kompatybilność Elektromagnetyczna";"Zamknięty - decyzja negatywna";"Podanie o rejestrację";"WXJX9CCNKupY4S1OKIcNWg";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;5;"null";"2017Z";7;26;17;184;0;0;2;1;5;1;6;"1DE1416,1DE1515,DSJO1501,1DE1513,1DE1717,1DE1715";980;1;"[dr inż. Andrzej Łasica,ZWNiKE,Technika Wysokich Napięć i Kompatybilność Elektromagnetyczna]";;"NIE";"NIE";"TAK";"NIE";"NIE";"NIE";"NIE"
1289;"22.01.2018 13:14";"30.01.2018 15:44";"7bbYYGQ05oNrhsvlBju4w";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektromechatronika Pojazdów i Maszyny Elektryczne";"Zamknięty - decyzja pozytywna";"Wniosek o przedłużenie terminu złożenia pracy dyplomowej";"WXJX9CCNKupY4S1OKIcNWg";"WXJX9CCNKupY4S1OKIcNWg";"YES";"NO";"NO";"NO";0;6;"null";"2017Z";7;26;4;184;0;0;1;0;0;0;0;;0;1;"[dr hab. inż. Mirosław Lewandowski,ZTE,Elektromechatronika Pojazdów i Maszyny Elektryczne]";"75%";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1388;"29.01.2018 01:17";"30.01.2018 15:20";"bQFFtDAeQ4IVgoVNQ92QKA";"D";"M";"EN";"Model 2,M,D,EN,3 - Electrical Engineering";"Zamknięty - decyzja pozytywna";"Podanie o urlop";"s67ATdcxFRCArkQmkAHEzw";"s67ATdcxFRCArkQmkAHEzw";"NO";"NO";"NO";"NO";0;6;"null";"2017Z";3;41;10;49;0;0;5;0;0;0;1;"1DW2314";0;1;"[dr inż. Piotr Helt,ZSIS,Electrical Engineering]";;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
1393;"29.01.2018 13:22";"30.01.2018 08:26";"2AYHF19hWTS7tkVXz6jr2g";"D";"I";"PL";"Model 2,I,D,PL,7 - Aparaty Elektroenergetyczne";"Zamknięty - decyzja pozytywna";"Wniosek o przedłużenie terminu złożenia pracy dyplomowej";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"YES";"NO";"NO";"NO";0;4;"null";"2017Z";7;11;21;199;0;0;0;0;0;0;0;;0;1;"[dr inż. Tadeusz Daszczyński,ZAiAE,Aparaty Elektroenergetyczne]";"50%";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
